Speaker,Utterance,File_ID
g,<ds>right</ds> go vertically down until you're underneath <ds>eh</ds> diamond mine then <ds>eh</ds> go right until you're between springbok --boks and highest viewpoint,q4ec2
f,where,q4ec2
g,<ds>right</ds> right go right,q4ec2
f,don't think i've got that on mine,q4ec2
g,<ds>ah</ds> <ds>right</ds>,q4ec2
f,right directly to your right,q4ec2
g,right to your right where what is the next obstacle,q4ec2
f,<ds>ehm</ds> quite far over is overgrown gully,q4ec2
g,overgrown what,q4ec2
f,right so where you've got highest viewpoint is there anything below that,q4ec2
g,<ds>ehm</ds> <ds>no</ds>,q4ec2
f,<ds>well</ds> i've got overgrown gully,q4ec2
g,<ds>ah</ds> right overgrown gully there's no such thing <ds>eh</ds> on my map <ds>ehm</ds> the next one you've got to go to can you see springboks on yours,q4ec2
f,<ds>no</ds> where's that in relation to highest viewpoint,q4ec2
g,it's right next to it virtually,q4ec2
f,to its right or left,q4ec2
g,to its left,q4ec2
f,on the same level as highest viewpoint <ds>yeah</ds>,q4ec2
g,just slightly below it,q4ec2
f,<ds>okay</ds> <ds>right</ds>,q4ec2
g,right n-- go along to your right <ds>eh</ds> from where you last drew <ds>eh</ds> in a straight line horizontally,q4ec2
f,<ds>uh-huh</ds>,q4ec2
g,and then go up between the the two words springboks and highest viewpoint,q4ec2
f,<ds>uh-huh</ds>,q4ec2
g,and then <ds>ehm</ds> once you then go round the top <ds>eh</ds> go to your right <ds>eh</ds> horizontally go wh-- wh-- where are you at the moment are you just at s-- springboks here,q4ec2
f,<ds>well</ds> where i think that is and the highest viewpoint's above where i am just now,q4ec2
g,<ds>right</ds> <ds>okay</ds> right go vertically up then between the the springboks and highest viewpoint,q4ec2
f,<ds>okay</ds> am i meant to be trying to go under highest viewpoint like under,q4ec2
g,<ds>no</ds> <ds>no</ds> you're meant to be going between <ds>eh</ds> springboks and highest po-- viewpoint,q4ec2
f,<ds>okay</ds>,q4ec2
g,and once you get to above highest viewpoint <ds>eh</ds> you go horizontally,q4ec2
f,above highest viewpoint,q4ec2
g,<ds>yes</ds> above highest,q4ec2
f,<ds>uh-huh</ds>,q4ec2
g,right then go <ds>eh</ds> <ds>uh</ds> to your right horizontally then <ds>eh</ds> come once you're once you've <ds>eh</ds> passed highest viewpoint <ds>eh</ds> and there's nothing below you <ds>a--</ds> <ds>eh</ds> apart from safari truck if you can see that there,q4ec2
f,<ds>uh-huh</ds>,q4ec2
g,right go vertically down to just above s-- <ds>eh</ds> safari truck,q4ec2
f,<ds>uh-huh</ds>,q4ec2
g,right now what you want to do is diagonally <ds>eh</ds> from <ds>eh</ds> right to left go <ds>eh</ds> in front of safari truck,q4ec2
f,like coming underneath it,q4ec2
g,<ds>ehm</ds> you go up safari no no i don't mean go underneath it go like over it as it were,q4ec2
f,<ds>uh-huh</ds>,q4ec2
g,<ds>eh</ds> right so you're actually going from going diagonally <ds>eh</ds> from right to left above safari tr-- truck,q4ec2
f,<ds>oh</ds> <ds>okay</ds>,q4ec2
g,<ds>right</ds>,q4ec2
f,to where,q4ec2
g,to just <ds>ehm</ds> below the level of field station,q4ec2
f,not got that have you got banana tree,q4ec2
g,<ds>aye</ds> the banana tree bu-- is there a field station there as well,q4ec2
f,<ds>no</ds> nothing there <ds>oh yeah</ds> <ds>yes</ds> <ds>uh-huh</ds>,q4ec2
g,<ds>yeah</ds> <ds>right</ds>,q4ec2
f,so i'm going towards field station,q4ec2
g,<ds>yeah</ds> go towards field station right,q4ec2
f,<ds>okay</ds>,q4ec2
g,until you're <ds>eh</ds> u-- just underneath the level of the words field station,q4ec2
f,<ds>okay</ds>,q4ec2
g,these are identical maps i hope <ds>right</ds> <ds>eh</ds> <ds>right</ds> then you want to go horizontally <ds>eh</ds> from <ds>eh</ds> right to left <ds>eh</ds> above the banana tree above <ds>eh</ds> the actual banana tree itself,q4ec2
f,i just double back the way,q4ec2
g,<ds>yes</ds> like that,q4ec2
f,<ds>okay</ds> where to,q4ec2
g,right just p-- until you're past banana tree,q4ec2
f,<ds>okay</ds>,q4ec2
g,then come vertically down until you come to gold mine,q4ec2
f,don't have a gold mine,q4ec2
g,you don't have a gold mine,q4ec2
f,<ds>no</ds>,q4ec2
g,you must have a gold mine somewhere <ds>yeah</ds>,q4ec2
f,i don't i didn't have that,q4ec2
g,is it is it below banana tree,q4ec2
f,<ds>no</ds>,q4ec2
g,<ds>no</ds>,q4ec2
f,rock fall i've got,q4ec2
g,rock fall surely between rock fall and banana tree you've got a gold mine <ds>no</ds>,q4ec2
f,<ds>no</ds>,q4ec2
g,is it is it anywhere at all near,q4ec2
f,i've got to the right of banana tree and down there's rope bridge,q4ec2
g,<ds>eh</ds> say that again to the,q4ec2
f,to the right of banana tree there's a rope bridge,q4ec2
g,<ds>right</ds> now that's slightly down isn't it,q4ec2
f,<ds>yeah</ds> <ds>uh-huh</ds>,q4ec2
g,and <ds>eh</ds> rock fall is like <ds>eh</ds> it forms a triangle,q4ec2
f,<ds>yeah</ds> <ds>that's right</ds> <ds>aye</ds>,q4ec2
g,<ds>right</ds>,q4ec2
f,where's your gold mine,q4ec2
g,<ds>well</ds> my gold mine is <ds>uh</ds> the <ds>eh</ds> the mid point of the banana tree and rock fall line,q4ec2
f,<ds>right</ds> <ds>well</ds> <ds>no</ds> i haven't got that,q4ec2
g,so you don't have that <ds>ehm</ds> <ds>right</ds> <ds>well</ds> mine that must mean that this that you can bypass this obstacle <ds>so</ds> <ds>ehm</ds> from where you are you're you're you're next to banana tree the word aren't you <ds>yeah</ds> is that where you are,q4ec2
f,i'm above banana tree,q4ec2
g,you're certainly above it right,q4ec2
f,<ds>uh-huh</ds>,q4ec2
g,<ds>okay</ds> right come <ds>eh</ds> vertically down to just below the word banana tree,q4ec2
f,<ds>okay</ds>,q4ec2
g,now <ds>ehm</ds> since this obstacle is missing <ds>eh</ds> we can either go down and follow the exact same path as they've gone or we can go across to the rope bridge and down there <ds>ehm</ds> just wondering i suppose i ought to keep it the same as what they've got <ds>so</ds> <ds>ehm</ds> come down 'til you're just below the level of the word rope bridge <ds>eh</ds> just a vertical line straight down just draw it straight down,q4ec2
f,from banana tree over to rope bridge,q4ec2
g,<ds>yeah</ds> <ds>well</ds> <ds>no</ds> <ds>no</ds> <ds>no</ds> just a vertical line straight down <ds>ehm</ds> to just below the level of rope bridge,q4ec2
f,<ds>okay</ds>,q4ec2
g,right and then <ds>eh</ds> and it's about <ds>ehm</ds> it's near the midpoint of <ds>eh</ds> banana tree rock fall line,q4ec2
f,<ds>mmhmm</ds>,q4ec2
g,it's just slightly below that <ds>ehm</ds> then you want to go <ds>eh</ds> right <ds>ehm</ds> from left to right want to draw horizontal line <ds>ehm</ds> to about the middle of the page if there's if there's no obstacle there,q4ec2
f,sorry say that again,q4ec2
g,<ds>right</ds>,q4ec2
f,right i'm i'm beside rope bridge just now,q4ec2
g,you're bes-- beside rope bridge,q4ec2
f,did you mean just go straight keep going down but not go to,q4ec2
